# path	original_sha256	current_sha256	pool_commit	license	upstream_sha	modifications
LeanPool/Incompleteness/Foundation/FirstOrder/Completeness/SearchTree.lean	3ea6f1ce942168d21989fe7a7262044298265abae80305cbaec6fdd0afd20e11	3ea6f1ce942168d21989fe7a7262044298265abae80305cbaec6fdd0afd20e11	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/FirstOrder/Completeness/SubLanguage.lean	860aee789ed4bd922692f3b3e7e3622bda08a4e2e076ec68ff16ad694f887dfa	860aee789ed4bd922692f3b3e7e3622bda08a4e2e076ec68ff16ad694f887dfa	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/FirstOrder/Order/Le.lean	cbf160e153c723c1c0bf16ba75621b31f60de3e4b7df935ed9cc2cd276dd79b3	cbf160e153c723c1c0bf16ba75621b31f60de3e4b7df935ed9cc2cd276dd79b3	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/FirstOrder/Ultraproduct.lean	4c4d6fcf6507582f3f597289178ea4c0213d5ec8173432798f4071d547ad8b77	4c4d6fcf6507582f3f597289178ea4c0213d5ec8173432798f4071d547ad8b77	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Formula.lean	410934a6e4cabebf8afc7e5b1386e5ec1648b1a4b858e36a76ed9db6d9b1fbf5	410934a6e4cabebf8afc7e5b1386e5ec1648b1a4b858e36a76ed9db6d9b1fbf5	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Hilbert/Basic.lean	21efa0101aca0929283d615e497b06a12a6ec94af46f6c5b35115d0ffd00f8d1	21efa0101aca0929283d615e497b06a12a6ec94af46f6c5b35115d0ffd00f8d1	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Hilbert/Int.lean	169efc35e2dd48175e8eb780958c847fd78e6723ca3d08b03f29fa2e59761f86	169efc35e2dd48175e8eb780958c847fd78e6723ca3d08b03f29fa2e59761f86	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Hilbert/WellKnown.lean	5c24a724dcb9cd3cf935f6b679722737d84e856cec98aec4a540ff481cd4bcf4	5c24a724dcb9cd3cf935f6b679722737d84e856cec98aec4a540ff481cd4bcf4	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Kripke/Basic.lean	af072ac456f15362ece89aee34682165648cb41ec50169d70ab2f3ec7aed50ac	af072ac456f15362ece89aee34682165648cb41ec50169d70ab2f3ec7aed50ac	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Kripke/Hilbert/Cl/Basic.lean	8f2f538bccac340b0bc31623023da8de21931945faa96837b47808e3404fec92	8f2f538bccac340b0bc31623023da8de21931945faa96837b47808e3404fec92	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Kripke/Hilbert/Cl/Classical.lean	8ad072b463778f6483f1d386727a16f391e37775ae5ef365bb3a4a610d2a69d6	8ad072b463778f6483f1d386727a16f391e37775ae5ef365bb3a4a610d2a69d6	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Kripke/Hilbert/Soundness.lean	5abc7e2d45ccaef83923311e526ebeb0ade2bd9ab7f2c48e8ec80943174061a9	5abc7e2d45ccaef83923311e526ebeb0ade2bd9ab7f2c48e8ec80943174061a9	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/IntProp/Substitution.lean	3190d7ce7c268db477b4d8dbc5207ff72f4e98b11cfb4d0bfb23d8e2c7531534	3190d7ce7c268db477b4d8dbc5207ff72f4e98b11cfb4d0bfb23d8e2c7531534	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
LeanPool/Incompleteness/Foundation/Logic/Axioms.lean	839bf4d0d9182dff140a213a5d76bfa34bbecd023f68b1d012434aa7e35aa1ad	839bf4d0d9182dff140a213a5d76bfa34bbecd023f68b1d012434aa7e35aa1ad	c8ddda0a64f21cb019720cdda48c94354d4091e7	Apache-2.0	unresolved	none
